GUID,Aktywna,Nazwa
d73299a9-bbae-4307-a0c4-c91f92a46493,1,Deweloper
06590af8-8e59-472d-9c21-19f5aaefc3c8,1,Instalacje elektryczne
d0814cc0-35fd-4734-948f-84be3e46899c,1,Instalacje przemysłowe
b77aef32-ab34-4449-89be-6bcdf4b1b37a,1,Ochrona środowiska
b4e2c0ff-cf4a-4c01-b678-ab4882873347,1,Hutnicza
564e432c-4d20-473f-af89-6d98991306cc,1,Górnictwo
77c33d32-229b-43eb-b0c5-8400935ff8b0,1,Przemysł chemiczny
da55e879-f98a-4a15-b0fb-ab42f0e038a5,1,Przemysł spożywczy
4d3b0905-041c-45f4-8b72-31eb0a93b845,1,Cementownie
be8e1fe4-3c0a-4814-9271-6861811c4111,1,Flota 
3bf5f756-a6df-4325-a31a-08193c0dc37a,1,Relokacje
e675baa3-2b35-4851-aafb-fc99e4cfaddd,1,Prefabrykacje
a399d865-7b6e-40df-9c21-184206a7eeec,1,Inne
06643701-3bb1-4508-91d8-adad754425f6,1,Teletechniczna 
7d44d40a-0356-4c58-b5f9-39eec83a8236,1,Gastronimiczna
3f0b9a0c-cf62-4d7b-90f0-034c6bada984,1,Noclegowa
a56e7054-0ee4-40db-a464-19eb5d5daff7,1,Szkoleniowa
7793ee5e-a2cc-4d9b-9576-4ec6374aabf2,1,Oświetleniowa
8a7671bc-8d71-4312-a46f-830b01d2d50a,1,BHP 
d3d02bba-fe30-47ff-9b5f-4f67a7fe9e1c,1,Medycyna Pracy 
53c95d97-b73c-4765-9751-364fb60178e0,1,Systemy PPOŻ
63c15b7d-9d10-4ea0-9e89-fec37eed39bd,1,IT
36804104-17ef-410d-ab90-392c7e7bfbe6,1,Budowlana 
da4bdb34-8960-43c7-b14d-97d4948b8dd1,1,Pośrednictwo pracy
4aeb2f88-71d3-4ebf-8cd7-2842f28ee128,1,Administracja
3700724f-0f47-47d6-ba9e-08f44d6f0d0f,1,Akustyka
95651252-2146-4312-bfa9-923fbdc9026d,1,Architektura
049161a2-5e03-4691-9327-8a0e1a4b0e4b,1,"Architektura, technologia kuchni"
9b6bd46a-e53b-4953-a952-59c3dd63d6bc,1,Artykuły biurowe
d4feedb7-cecf-4059-b2b2-3a310322b143,1,Artykuły budowlane
04aa48f3-7f82-4745-b2bc-02ee853d4898,1,Artykuły higieniczne
c95a17b7-1317-4584-a904-a80de1697877,1,Artykuły różne
4466bc8d-993f-4910-8bbe-6c9ea83c9005,1,Artykuły spożywcze
01373062-8ee6-4f2d-b385-6d3de0630c03,1,Artykuły spożywczek
1c2d8814-1dbe-49b2-8a53-d4e314dbffd7,1,Auta
339924ff-987d-491d-ae79-4e1d9ff917cf,1,Auto
8c546ba3-021b-48c7-a021-67efb6359b64,1,Benefit
9ff19fb3-7417-4a08-8e1c-d290b006d772,1,Beton
efec7f0d-914e-445a-a48c-90929f050a25,1,Biegły rewident
3f272d0b-f4fe-4dd1-9e06-82624144f2e2,1,BIM
084d0808-bfb1-4e63-88bb-a152b3b5119e,1,Breeam
c6ecb35c-c7aa-429b-aa64-6329364d78fb,1,Catering
96e40a13-afe8-4ca7-990e-80e2c1ca2e92,1,Certyfikacja
7cba4982-d233-43f9-9d2b-13dfdebe8ad4,1,Cięcie płyt
8cebd1c4-74f6-42ce-b3aa-8bc5bb17093b,1,Consulting
9ea37836-aee4-4fc8-993c-aa87c2dfe4c8,1,Decyzje środowiskowe
23d1db49-5bd9-4154-bdbc-e6741eb660c0,1,Dokształcanie
bfc2992f-c0b4-4250-87c7-de9ab62b594e,1,Domeny
b64731a7-f8c1-4ccb-8cd8-fac5d6ebd787,1,Doradztwo prawne
77901f47-f064-4ba6-9e90-e035aa9e95ce,1,Drogowa
0647ca7d-c8ba-45fc-a861-42864a499ec9,1,Drukarnia
8fe057b0-915a-4981-8cbd-8bedd278a1e6,1,Dystrybutor tk max
67b5a42e-f750-4c85-aab1-eb7249f48874,1,E-commerce
930559d7-54f6-43fb-a7fb-32170a5a34a7,1,Edukacja
3cc9b47e-25e1-43a9-a121-cc3d25c60356,1,Elektryczna
a8be20bf-8eb4-42a3-b580-7747a86347da,1,Energia elektryczna
24284454-f5e4-4f6d-9f32-e34f072eb2d7,1,"Energia elektryczna, gaz"
