ID,Nazwa,Akronim
586,TJX,TJX
587,FERRERO,FER
588,Blue Assets,BLU
589,Graphene Partners,GRA
590,OEN,OEN
591,KRAM Investment,KI
592,Tuopu,TUO
593,Erbud,ERB
594,GOLDBECK,
595,Galeria Kazimierz,
596,FM Logistic,
597,Erontrans,
598,Enercon,
599,DEPENBROCK,
600,DEKPOL,
601,CTP,
602,COBOR,
603,Chefs Culinar,
604,CFE,
605,CBRE,
606,Campus Masovia,
607,AURO,
608,AUCHAN,
609,AS MAX,
610,Arvato,
611,AMBRO,
612,Amazon,
613,ALKYON,
614,AJU STEEL,
615,Air Spiralo,
616,Grupa TFK,TEST1
617,"H&M",TEST
618,HASCO,
619,Hermes Fulfillment,
620,Ideal Automotive,
621,JEMS,
622,JLL,
623,KEPLER,
624,K-Flex,
625,Kongsberg,
626,LCP Properties,
627,LPP,
628,MOUNTPARK,
629,NAPOLLO,
630,ONTEX,
631,OTTO,
632,Panattoni,PAN
633,Panattoni BTS,
634,PEAKSIDE,
635,Procefar,
636,PROLOGIS,
637,PSSE,
638,pzt,
639,pzt- gaz,
640,QUISOQUE,
641,REKKA,
642,Roodia,
643,rózni,
644,Samsung,
645,Sanden,
646,SILVAN,
647,SOUTHCO,
648,spek,
649,TEDI,
650,TFK,
651,THG,
652,TPV,
653,Trilux,
654,TRIVUM,
655,VidaXL,
656,YOFC,
657,ŻABKA,
658,Exeter,
659,Silta,
660,Sano Rice,
661,IKEA,
662,Prozon,
663,PetFood,
664,Anvis,
665,Action,
666,Project Light,
667,Van de Velde,
668,Vestas,
669,Recaro,
670,Trumpf,
671,Ochnik,
672,MIRBUD,
673,Schenker,
674,Commercial Point,
675,BSH,
676,DANFOSS,
677,Lidl,
678,Protix,
679,IRF,
680,Hines,
681,Valmet,
682,Ingram,
683,NORDSPACE,
684,Frontier,
685,Geenpack,
686,Emerson,
687,Moryson,
688,NorthVolt,
689,Solaris,
690,Atlas Copco,
691,Heye,
692,Bricomarche,
693,MotoProfil,
694,Nestle,
695,Berner,
696,Ecolab,
697,7R,
698,Pekabex,
699,Gleeds,
700,MLP,
701,PrimeConstruction,
702,Klima-Venta,
703,Commercecon,
704,Euroklimat,
705,BK HVAC,
706,PIS,
707,Atlas Ward,
708,BD Kasprzak,
709,InPost,
710,ambasada,
711,Raben,
712,Airbus,
713,Modo,
714,Kajima,
715,Dulcet,DUL
2896,TEST2,TEST2
2897,Leom Tree,LEM
2898,Test,TES
5611,Dulcet1,DUL1
